2
12
168
240
13,440
14,880
65,280
549,120
591,360
591,360
833,280
954,240
1,145,760
1,317,120
1,666,560
1,908,480
2,143,680
2,204,160
3,655,680
3,886,080
4,408,320
6,990,720
8,094,720
17,149,440
25,259,520
39,443,712
39,621,120
58,490,880
61,501,440
64,757,760
66,324,480
66,716,160
68,597,760
81,070,080
89,041,920
99,939,840
99,939,840
101,122,560
118,272,000
130,099,200
133,425,600
187,031,040
209,932,800
229,152,000
236,651,520
262,416,000
272,912,640
366,213,120
367,933,440
421,048,320
426,961,920
435,240,960
514,631,040
522,762,240
546,712,320
546,712,320
623,293,440
870,481,920
